rn,D08,R08,D16,R16
87,612,992,735,1564
88,1337,1081,394,375
89,1146,701,1443,881
90,3046,1279,1149,374
91,1162,149,0,0
92,1361,1154,1350,1328
93,1141,1790,432,868
94,624,679,853,1026
95,1901,1094,995,854
96,1252,214,1276,254
97,0,0,0,0
98,2243,758,2003,322
99,0,0,0,0
100,1144,418,1690,405
101,2097,847,0,0
102,487,381,416,316
103,2351,2277,812,553
104,1000,1510,705,1128
105,1594,1597,1609,1790
106,396,795,0,0
107,436,562,600,780
108,315,312,218,238
109,693,405,0,0
110,439,640,1337,1396
111,361,380,0,0
112,0,0,208,565
113,783,1358,528,1083
114,475,873,757,1949
115,1104,408,720,280
116,997,1430,252,532
117,342,501,513,616
118,490,842,330,703
119,1026,658,0,0
120,1164,1638,644,1439
121,1690,2295,1511,1521
122,1965,2082,620,573
123,908,435,1342,561
124,451,554,498,663
125,464,646,302,509
126,424,793,0,0
127,678,780,1152,1008
128,0,0,0,0
129,828,1030,406,486
130,909,900,0,0
131,1517,986,0,0
132,814,370,1378,732
133,0,0,0,0
134,1449,497,592,297
135,0,0,0,0
136,1174,859,1330,942
137,1880,503,1072,251
138,2402,200,1088,94
139,0,0,0,0
140,0,0,1272,99
141,2245,279,0,0
142,1083,1221,0,0
143,797,887,1298,1260
144,3103,1077,1828,565
145,0,0,0,0
146,2272,170,1269,131
147,1045,167,562,72
148,1199,836,216,335
149,2588,275,253,347
150,2439,135,2299,236
151,3660,144,735,41
152,2154,62,844,43
153,309,64,0,0
154,1271,54,0,0
155,1695,58,2574,197
156,1249,31,1342,68
157,2216,50,0,0
158,0,0,766,83
159,0,0,0,0
160,1696,153,0,0
161,0,0,1022,110
162,3414,327,402,87
163,0,0,0,0
164,2700,215,1239,113
165,1513,315,0,0
166,2122,213,1890,136
167,5138,534,321,90
168,2008,150,879,74
169,1579,160,992,93
170,0,0,1458,226
171,2306,170,0,0
172,935,281,0,0
173,1438,509,0,0
174,1238,368,799,149
175,941,1258,1968,1554
176,0,0,1872,988
177,1409,686,0,0
178,1379,737,0,0
179,1533,849,1055,600
180,864,690,0,0
181,1295,915,1214,721
182,2282,1623,0,0
183,1272,580,0,0
184,1710,683,1664,427
185,1560,548,889,338
186,1673,277,656,200
187,1591,986,0,0
188,0,0,1110,448
189,2219,1584,3532,2299
190,1015,717,637,384
191,1074,656,0,0
192,582,903,306,617
193,1367,1016,0,0
194,1376,1120,833,625
195,788,1547,496,1136
196,934,1881,590,1715
197,668,1128,478,1048
198,887,1864,637,1760
199,675,763,1339,1671
200,2079,3121,398,493
201,680,1036,667,947
202,1054,1310,145,167
203,299,496,533,820
204,539,467,0,0
205,2846,2794,865,1033
206,0,0,347,296
207,775,621,640,779
208,0,0,646,408
209,590,302,1010,321
210,695,1090,608,628
211,1109,1376,399,446
212,781,990,672,767
213,1144,1629,795,890
214,1115,1454,623,717
215,185,211,664,694
216,483,606,0,0
217,1249,2139,468,844
218,861,1871,973,1864
219,714,2124,362,1447
220,35,88,0,0
221,610,1660,0,0
222,601,1191,895,2097
223,482,783,0,0
224,910,1386,1404,1947
225,1742,2083,0,0
226,280,320,0,0
227,673,1218,1019,1571
228,1185,2242,725,1317
229,660,1118,0,0
230,458,912,749,1467
231,1923,2187,1100,1491
232,1099,1169,0,0
233,858,1265,0,0
234,1067,1690,733,1131
235,776,1199,0,0
236,1277,1834,0,0
237,0,0,451,1123
238,0,0,0,0
239,605,965,341,896
240,639,650,912,1676
241,0,0,0,0
242,524,722,0,0
243,527,793,690,1207
244,720,1059,397,895
245,0,0,0,0
246,492,727,422,920
247,570,679,392,501
248,0,0,0,0
249,828,856,493,685
250,229,284,0,0
251,0,0,251,650
252,1135,16,418,21
253,662,317,488,331
254,0,0,246,653
255,0,0,189,245
256,995,1001,731,835
257,872,1227,345,785
258,693,1061,347,641
259,708,1054,0,0
260,556,918,583,1053
261,818,517,450,403
262,486,795,761,1252
263,690,980,0,0
264,0,0,412,278
265,796,767,655,620
266,1144,1341,1338,1632
267,1134,1173,1239,1045
268,1058,994,0,0
269,751,499,0,0
270,0,0,0,0
271,1385,623,1010,441
272,1659,612,1094,314
273,710,828,987,881
274,708,699,0,0
275,495,932,369,841
276,507,1030,314,966
277,341,730,248,672
278,449,721,317,655
279,572,676,330,591
280,0,0,0,0
281,1732,320,0,0
282,242,249,130,156
283,692,798,732,1735
284,680,1447,0,0
285,1432,468,2005,568
286,501,879,241,676
287,0,0,0,0
288,0,0,665,417
289,1293,674,1095,933
290,727,742,516,633
291,272,505,151,449
292,1316,1234,642,1656
293,354,857,0,0
294,510,1126,251,1068
295,898,802,571,693
296,1059,1829,586,1623
297,826,1465,0,0
298,0,0,331,1238
299,608,1270,315,1303
300,456,368,266,364
301,0,0,0,0
302,856,1308,429,1227
303,1034,1445,813,1018
304,643,892,499,628
305,862,678,229,176
306,1084,860,1053,629
307,995,854,668,519
308,559,601,452,409
309,1390,848,0,0
310,0,0,1483,769
311,0,0,0,0
312,1077,638,126,28
313,0,0,0,0
314,1082,1006,806,586
315,770,496,478,278
316,899,511,599,291
317,1031,707,1583,586
318,1097,465,0,0
319,368,385,0,0
320,0,0,1030,542
321,1182,519,0,0
322,1773,120,1659,203
323,1087,237,0,0
324,1434,944,630,387
325,0,0,421,209
326,338,413,684,631
327,962,961,0,0
328,721,694,938,769
329,0,0,641,832
330,1019,1105,770,796
331,1031,1252,0,0
332,1879,2005,861,1221
333,610,741,502,697
334,2994,267,2869,355
335,1119,371,1434,287
336,1072,882,0,0
337,0,0,768,744
338,0,0,0,0
339,331,684,0,0
340,0,0,0,0
341,632,1086,429,887
342,548,920,0,0
343,1226,1816,1271,2459
344,2119,1899,0,0
345,2307,2437,1435,2370
346,0,0,1202,1666
347,865,1162,761,1636
348,0,0,0,0
349,1416,2172,406,705
350,0,0,417,792
351,903,1036,490,708
352,945,965,475,810
353,1555,1833,369,753
354,1533,1471,892,1626
355,2519,2424,1670,2517
356,0,0,596,634
357,0,0,549,908
358,1814,1868,0,0
359,245,554,124,594
360,683,1356,342,1232
361,601,885,355,868
362,325,700,185,463
363,1099,1513,0,0
364,0,0,506,1070
365,233,604,132,553
366,647,1065,364,1042
367,705,851,515,847
368,0,0,0,0
369,1225,2415,729,2490
370,618,1488,761,2940
371,741,1778,0,0
372,1127,2421,0,0
373,402,945,758,2145
374,1172,2740,863,2644
375,0,0,894,1732
376,1756,3115,504,1016
377,0,0,1479,2602
378,0,0,0,0
379,841,1497,0,0
380,813,1614,545,894
381,1559,2458,847,1244
382,1198,2972,0,0
383,0,0,0,0
384,665,1617,1078,4289
385,652,861,0,0
386,0,0,1188,2695
387,1992,3388,236,449
388,0,0,0,0
389,1452,2535,190,268
390,0,0,850,1609
391,841,1006,453,676
392,969,1868,530,1363
393,1118,2592,0,0
394,0,0,388,1100
395,914,2141,934,3163
396,597,1313,238,779
397,539,1352,0,0
398,125,393,0,0
399,606,1196,311,1172
400,243,345,256,896
401,858,1387,1322,2823
402,748,1552,0,0
403,1237,2648,1851,5176
404,790,1671,0,0
405,0,0,0,0
406,926,1146,454,1176
407,1240,1349,567,1258
408,0,0,0,0
409,1555,1767,889,1868
410,0,0,559,826
411,1212,1158,525,931
412,1637,1468,882,1108
413,1433,1574,450,361
414,487,233,0,0
415,690,1533,332,1346
416,1351,1846,635,1336
417,1107,1717,528,1542
418,0,0,400,1341
419,923,1520,352,814
420,878,1325,459,1426
421,1036,1360,625,1262
422,585,1251,0,0
423,809,1898,729,3293
424,462,1170,259,1292
425,0,0,0,0
426,1545,536,1969,717
427,0,0,975,323
428,2797,1178,203,336
429,1170,651,725,593
430,780,626,518,708
431,1138,1550,216,523
432,699,820,2161,1502
433,1991,632,2915,756
434,1543,630,0,0
435,0,0,0,0
436,1707,622,1049,238
437,1045,311,1200,300
438,1645,593,0,0
439,1575,768,1873,615
440,754,515,0,0
441,4318,1383,2207,1075
442,1625,430,1048,283
443,1370,703,895,484
444,722,843,1679,712
445,1773,652,467,193
446,2131,399,1477,385
447,0,0,0,0
448,3679,3418,1691,2305
449,383,650,196,609
450,848,1082,504,1018
451,467,910,306,897
452,955,1312,692,1170
453,1552,1516,905,1340
454,1915,711,1520,432
455,0,0,0,0
456,375,789,288,773
457,1179,1110,756,1054
458,689,1681,292,1334
459,589,649,421,435
460,67,26,0,0
461,1829,565,1250,454
462,1015,1509,487,898
463,191,553,141,660
464,226,365,130,418
465,962,1243,1414,2020
466,0,0,0,0
467,0,0,837,432
468,0,0,0,0
469,894,284,2271,1165
470,1178,581,0,0
471,1131,468,1286,629
472,518,316,0,0
473,617,359,1660,894
474,1500,983,1774,1448
475,0,0,0,0
476,1025,493,0,0
477,1203,914,0,0
478,1645,1166,1381,962
479,0,0,1661,1298
480,1506,1151,442,314
481,752,401,626,329
482,1138,1210,941,1137
483,1786,1380,0,0
484,602,503,521,421
485,1932,1460,0,0
486,649,958,1212,1517
487,498,887,241,872
488,312,713,206,719
489,2150,2382,927,1360
490,697,1310,436,1461
491,1543,1909,603,1011
492,539,1106,280,478
493,0,0,1778,2629
494,1410,1368,315,326
495,1650,2475,0,0
496,426,453,0,0
497,1234,1837,1073,2367
498,0,0,0,0
499,1718,2221,1123,2379
500,679,776,0,0
501,0,0,0,0
502,1805,1420,2288,2387
503,949,664,0,0
504,1374,1402,582,879
505,0,0,398,518
506,346,487,919,1857
507,1032,1469,584,861
508,0,0,1248,2104
509,724,799,521,658
510,583,862,375,504
511,316,709,0,0
512,854,1270,764,1941
513,964,1800,146,671
514,0,0,276,954
515,730,1262,322,1143
516,1666,759,1254,580
517,0,0,422,1334
518,1029,1656,106,359
519,480,956,307,963
520,1479,2138,0,0
521,1109,602,0,0
522,0,0,0,0
523,653,698,0,0
524,1034,898,703,963
525,65,122,0,0
526,376,1050,270,1186
527,388,1180,167,1209
528,345,861,136,721
529,571,1235,252,1521
530,286,614,155,498
531,551,1541,241,1424
532,768,1728,159,1227
533,1242,2349,285,575
534,737,1202,403,974
535,0,0,632,1432
536,879,991,0,0
537,741,1192,380,845
538,913,1516,308,884
539,1105,1586,561,1009
540,856,975,0,0
541,688,870,932,1422
542,985,967,512,1298
543,1360,369,665,228
544,626,1037,916,1657
545,592,675,1093,964
546,1350,515,279,247
547,1250,553,929,657
548,1787,1280,1419,1220
549,1714,1675,1447,2028
550,1043,859,0,0
551,775,1538,438,1255
552,0,0,0,0
553,595,584,0,0
554,771,886,0,0
555,1094,620,1167,1223
556,748,438,638,367
557,919,501,973,907
558,984,2052,1030,2790
559,0,0,277,935
560,718,1983,992,3344
561,469,1004,0,0
562,762,1532,674,1856
563,0,0,0,0
564,608,1347,418,992
565,1200,3373,1270,4333
566,447,1012,0,0
567,999,1969,577,1155
568,662,1383,0,0
569,573,1195,0,0
570,1763,3157,0,0
571,707,1140,409,835
572,688,1277,0,0
573,1141,2448,425,864
574,665,1055,0,0
575,0,0,0,0
576,448,874,1311,2595
577,509,879,0,0
578,880,2330,188,912
579,485,1308,236,1170
580,516,1422,0,0
581,1238,3211,291,1579
582,806,2228,423,2110
583,439,1168,258,1238
584,319,600,186,604
585,679,455,1080,1254
586,625,515,418,524
587,79,47,0,0
588,1805,2204,448,671
589,617,398,0,0
590,1194,843,0,0
591,1263,1359,2035,1718
592,919,817,0,0
593,770,486,1225,605
594,1055,644,1132,635
595,1847,1691,1896,1818
596,819,379,0,0
597,827,743,519,194
598,2177,2418,2502,2047
599,776,818,0,0
600,1255,1424,340,271
601,1686,1236,1326,601
602,1463,1180,836,514
603,506,396,639,483
604,1714,1226,0,0
605,1435,1184,1094,726
606,972,466,602,222
607,1173,994,664,477
608,1577,1218,1235,881
609,618,229,475,252
610,1002,1121,0,0
611,1106,1674,1057,1475
612,1229,1568,1044,1358
613,1194,2272,1310,2766
614,1391,2201,822,1258
615,2065,1888,2680,2076
616,725,793,0,0
617,1531,1740,540,706
618,2568,906,475,175
619,2312,604,2117,520
620,2678,831,950,230
621,1484,435,844,297
622,0,0,2271,1269
623,2487,1342,971,725
624,1484,577,0,0
625,2615,961,1882,674
626,1529,592,412,155
627,2540,664,1494,388
628,1701,521,1029,295
629,1860,539,1507,497
630,895,247,1189,341
631,929,675,612,378
632,2350,739,1464,369
633,661,338,0,0
634,1668,717,0,0
635,987,297,1020,315
636,1931,811,1471,551
637,1348,577,0,0
638,842,745,0,0
639,2288,1636,2583,1336
640,1644,766,512,224
641,1262,441,943,260
642,1417,793,2058,933
643,1511,662,0,0
644,751,221,1283,344
645,727,923,275,522
646,1000,1211,573,993
647,1319,775,685,547
648,814,792,167,290
649,537,700,309,616
650,1329,941,1566,868
651,1734,1720,1481,1336
652,0,0,0,0
653,2674,1413,696,260
654,750,914,247,494
655,2655,1934,498,523
656,1186,1411,656,812
657,1095,796,902,1058
658,644,825,360,609
659,1635,717,0,0
660,1936,751,1378,489
661,1522,608,0,0
662,1526,526,966,263
663,1437,605,1981,761
664,0,0,3175,1278
665,942,641,1242,619
666,643,523,505,455
667,1638,1547,1450,1312
668,1398,1353,1658,1117
669,2340,997,732,266
670,1548,577,1869,785
671,1448,1063,0,0
672,1069,618,678,344
673,1667,708,0,0
674,1332,623,1872,828
675,1313,447,961,293
676,1646,865,0,0
677,814,353,1606,762
678,764,264,198,63
679,634,179,565,176
680,1132,454,1398,559
681,1710,754,996,294
682,1509,343,1038,196
683,1484,562,1108,349
684,1774,900,693,210
685,1028,369,2116,703
686,1040,437,0,0
687,0,0,1538,455
688,1881,656,608,302
689,0,0,0,0
690,1055,299,0,0
691,1188,668,432,161
692,0,0,720,131
693,1272,518,832,286
694,1081,354,0,0
695,1323,533,1263,289
696,1772,676,2381,767
697,1843,567,791,196
698,1704,596,936,336
699,832,300,642,193
700,0,0,1069,287
701,2971,1047,800,268
702,1058,347,0,0
703,0,0,0,0
704,1482,643,914,378
705,1543,669,1074,374
706,1772,867,1097,482
707,0,0,0,0
708,1177,290,0,0
709,1107,281,0,0
710,0,0,832,211
711,1199,494,0,0
712,1295,379,781,265
713,861,499,1585,511
714,0,0,707,304
715,0,0,985,352
716,1431,441,1109,287
717,0,0,0,0
718,0,0,706,218
719,2373,802,0,0
720,891,451,538,239
721,3206,1299,965,294
722,1221,480,779,271
723,1287,466,3133,1323
724,1698,762,0,0
725,1571,725,1493,461
726,1012,460,848,351
727,1515,572,1180,343
728,1168,346,1223,278
729,2224,1002,3159,972
730,1989,978,2101,828
731,1253,616,273,139
732,0,0,0,0
733,1607,920,1162,496
734,1154,480,798,255
735,1410,442,735,163
736,1349,345,0,0
737,881,280,0,0
738,417,92,438,94
739,217,41,0,0
740,1118,568,0,0
741,1237,457,87,38
742,1157,813,823,491
743,0,0,2766,1755
744,1066,798,0,0
745,1445,998,1227,765
746,0,0,581,261
747,1422,835,1067,537
748,1439,851,1045,543
749,917,434,0,0
750,1207,504,903,311
751,2160,1339,1908,1294
752,3346,2488,0,0
753,1572,579,1981,664
754,1973,1206,634,364
755,1411,720,1914,703
756,2196,386,0,0
757,1597,533,730,234
758,4360,1287,1708,482
759,1672,198,1896,211
760,0,0,0,0
761,2896,967,1947,494
762,2000,187,0,0
763,0,0,0,0
764,1710,173,0,0
765,1683,491,1758,390
766,1800,470,1818,382
767,1823,618,1058,253
768,1740,722,982,372
769,0,0,1312,91
770,513,138,0,0
771,0,0,0,0
772,1219,296,683,108
773,1484,71,0,0
774,776,50,0,0
775,1000,122,1244,97
776,953,60,0,0
777,2762,211,2851,174
778,0,0,0,0
779,1553,164,1063,82
780,1327,185,1284,164
781,1288,456,886,253
782,2059,365,771,80
783,0,0,0,0
784,1850,269,789,81
785,0,0,0,0
786,1383,165,696,84
787,3177,393,2260,186
788,0,0,0,0
789,922,108,0,0
790,2458,380,2006,222
791,2379,308,841,101
792,2248,389,1209,193
793,1161,300,746,152
794,705,184,543,99
795,2038,955,2874,961
796,1783,1084,1194,630
797,1123,415,631,207
798,529,190,765,317
799,1658,904,492,185
800,1769,498,1005,217
801,1482,398,943,208
802,2794,770,1641,364
803,1516,198,0,0
804,1831,346,560,55
805,0,0,814,208
806,1471,787,2145,655
807,0,0,0,0
808,1249,584,639,274
809,2123,441,0,0
810,985,427,0,0
811,728,367,0,0
812,786,384,0,0
813,959,336,840,207
814,1058,385,847,217
815,718,246,605,131
816,0,0,0,0
817,1280,384,2002,410
818,1101,374,693,220
819,1289,372,934,201
820,0,0,0,0
821,1043,313,803,157
822,1172,297,0,0
823,732,207,579,141
824,1114,339,716,164
825,2127,527,1604,297
826,2691,642,1866,336
827,1407,766,686,180
828,1037,412,818,219
829,1313,542,1333,570
830,1009,417,780,222
831,560,189,503,115
832,1333,349,922,218
833,1047,426,835,242
834,1852,618,0,0
835,1104,379,1409,391
836,1393,393,548,183
837,1776,483,1926,392
838,0,0,0,0
839,0,0,0,0
840,776,241,1368,294
841,0,0,0,0
842,2993,968,761,164
843,1569,571,1364,400
844,1170,274,659,123
845,1003,373,693,180
846,1168,320,459,112
847,0,0,1201,189
848,2134,618,1022,152
849,992,246,676,114
850,1748,452,0,0
851,1473,591,1759,480
852,1940,813,604,128
853,2838,712,1971,398
854,1543,567,0,0
855,1154,278,759,149
856,1415,455,2185,676
857,1754,1092,1455,1110
858,2425,1239,0,0
859,2083,1414,1472,769
860,1156,645,763,334
861,1301,476,0,0
862,1053,529,1454,583
863,789,260,510,139
864,936,445,604,264
865,0,0,1506,364
866,793,318,0,0
867,1813,415,0,0
868,0,0,880,202
869,1142,210,740,96
870,0,0,0,0
871,1244,954,800,495
872,907,199,1114,155
873,3814,695,588,149
874,0,0,0,0
875,1306,127,1328,156
876,1395,202,0,0
877,1594,386,1113,176
878,2170,334,0,0
879,1014,199,790,124
880,0,0,1005,166
881,554,443,350,285
882,1539,1198,1342,983
883,1311,589,379,234
884,2275,344,3112,458
885,2510,616,704,185
886,1210,324,1364,426
887,2830,688,0,0
888,0,0,1883,165
889,2074,166,0,0
890,1309,1045,808,620
891,760,583,444,336
892,2767,558,0,0
893,5178,121,3520,155
894,1235,264,1584,450
895,1062,593,200,72
896,2637,416,365,89
897,557,278,652,149
898,712,92,726,169
899,1419,74,1833,148
900,2007,139,332,56
901,2798,592,828,136
902,0,0,0,0
903,0,0,887,97
904,1975,135,0,0
905,593,193,819,134
906,1524,80,0,0
907,3028,182,1035,87
908,1830,45,0,0
909,4052,170,3100,157
910,4090,437,1987,199
911,0,0,0,0
912,1376,110,1765,190
913,1342,156,0,0
914,690,586,331,366
915,589,349,209,203
916,1318,235,1109,173
917,3417,482,1525,233
918,2186,163,0,0
919,0,0,1798,178
920,834,179,75,36
921,0,0,0,0
922,2705,151,1525,104
923,2285,109,0,0
924,2400,163,1118,88
925,0,0,406,19
926,2236,153,0,0
927,1872,112,1659,125
928,1721,127,1233,79
929,2268,205,0,0
930,1233,131,2604,205
931,1404,141,0,0
932,950,318,0,0
933,1922,113,0,0
934,1336,129,1360,199
935,0,0,1012,108
936,4122,499,0,0
937,1539,139,1066,222
938,3718,364,1088,158
939,956,151,1202,133
940,2958,224,1511,128
941,1690,244,0,0
942,984,159,2333,160
943,2173,133,0,0
944,3178,130,1248,65
945,1992,88,0,0
946,0,0,0,0
947,1473,222,766,111
948,1778,187,1949,246
949,1144,71,551,35
950,1948,23,0,0
951,1792,91,779,35
952,1174,32,558,19
953,1866,29,1026,25
954,1726,58,737,23
955,2286,52,2045,48
956,0,0,0,0
957,1445,40,754,26
958,0,0,1654,39
959,1332,24,0,0
960,2288,42,0,0
961,2190,36,974,33
962,0,0,741,26
963,745,64,1740,129
964,2599,237,1577,109
965,2105,140,928,50
966,0,0,298,40
967,2693,96,0,0
968,0,0,719,27
969,1962,40,968,29
970,2018,37,197,6
971,1778,41,0,0
972,2120,34,963,39
973,0,0,0,0
974,0,0,1672,47
975,1133,36,0,0
976,1996,73,1654,64
977,2107,43,829,34
978,2606,78,0,0
979,0,0,662,25
980,3272,49,1047,20
981,368,13,1091,42
982,1814,29,1364,31
983,0,0,0,0
984,0,0,0,0
985,2317,29,1953,53
986,1155,22,0,0
987,0,0,1106,21
988,5800,99,0,0
989,2328,16,2928,69
990,2200,34,1392,25
991,1051,15,1012,19
992,1449,9,644,6
993,1120,12,568,10
994,1057,18,535,12
995,1456,16,807,14
996,1288,20,1081,20
997,1482,18,779,28
998,1330,10,0,0
999,1349,20,882,30
1000,1421,15,780,21
1001,2267,49,1354,52
1002,1889,44,877,41
1003,1941,33,1570,61
1004,0,0,0,0
1005,0,0,0,0
1006,4802,262,0,0
1007,1747,29,608,51
1008,2466,57,0,0
1009,3488,103,0,0
1010,3753,39,990,22
1011,0,0,1527,22
1012,0,0,904,33
1013,1281,40,1926,81
1014,1296,30,2406,130
1015,0,0,190,5
1016,982,178,1284,159
1017,2272,472,1483,173
1018,1534,135,767,43
1019,2338,153,2293,260
1020,883,151,639,76
1021,1916,72,680,53
1022,0,0,1029,58
1023,816,118,0,0
1024,1067,104,0,0
1025,1472,123,1081,105
1026,676,104,0,0
1027,0,0,1050,111
1028,1922,99,1963,122
1029,1396,144,903,88
1030,1724,71,1790,144
1031,1043,212,727,145
1032,887,32,0,0
1033,702,88,561,66
1034,821,113,696,85
1035,1678,117,1958,127
1036,0,0,0,0
1037,0,0,0,0
1038,1315,45,0,0
1039,1774,65,1705,89
1040,744,69,0,0
1041,1469,68,1089,55
1042,0,0,0,0
1043,582,57,656,32
1044,0,0,0,0
1045,0,0,0,0
1046,944,91,783,77
1047,1567,140,1339,81
1048,0,0,0,0
1049,2093,233,1410,136
1050,0,0,0,0
1051,0,0,0,0
1052,1303,128,208,25
1053,0,0,0,0
1054,1354,232,1035,128
1055,0,0,0,0
1056,2227,399,1443,211
1057,353,76,543,94
1058,1255,366,1552,211
1059,0,0,905,194
1060,698,102,0,0
1061,1069,151,687,96
1062,1329,243,309,76
1063,1472,326,1096,179
1064,1431,142,891,73
1065,1441,143,897,79
1066,1522,151,978,79
1067,1386,49,0,0
1068,0,0,1011,39
1069,807,377,648,233
1070,752,338,1385,372
1071,1928,598,655,164
1072,1050,264,0,0
1073,1972,485,1769,296
1074,691,227,0,0
1075,625,184,490,105
1076,811,218,994,222
1077,0,0,741,247
1078,922,542,1138,457
1079,1528,415,1077,270
1080,3763,1179,1309,280
1081,1618,199,1127,118
1082,301,149,580,146
1083,497,649,533,1017
1084,272,657,150,691
1085,723,1063,370,989
1086,799,1427,636,2027
1087,838,1530,0,0
1088,404,746,211,511
1089,1134,1878,563,1185
1090,958,1749,732,1807
1091,784,1593,358,1103
1092,530,1103,248,827
1093,765,1320,0,0
1094,0,0,0,0
1095,1160,1967,332,944
1096,628,1011,613,2013
1097,568,952,556,1677
1098,1036,1594,0,0
1099,632,813,371,820
1100,876,1618,446,1120
1101,1362,1773,1739,3331
1102,1177,2018,447,1075
1103,1454,2455,485,1713
1104,490,774,0,0
1105,311,623,1176,1452
1106,1135,1002,947,1023
1107,2015,1135,1397,872
1108,708,478,0,0
1109,1135,1113,523,695
1110,1365,1982,830,1782
1111,1071,1397,699,1309
1112,1184,294,1079,1001
1113,1080,1055,92,260
1114,340,671,126,366
1115,540,707,177,314
1116,727,1496,154,386
1117,531,491,653,1438
1118,0,0,0,0
1119,639,1401,291,1009
1120,1272,1356,0,0
1121,0,0,0,0
1122,849,600,1393,1660
1123,833,1388,285,665
1124,1410,1459,0,0
1125,330,431,186,300
1126,954,1058,461,690
1127,463,537,260,502
1128,952,1369,539,907
1129,546,511,503,570
1130,1124,951,1039,1528
1131,534,390,810,1067
1132,0,0,259,201
1133,627,163,263,72
1134,1164,732,344,271
1135,0,0,385,460
1136,618,577,0,0
1137,0,0,669,762
1138,372,290,241,250
1139,389,210,0,0
1140,1038,1076,1245,2397
1141,1430,1930,1088,2676
1142,232,350,120,401
1143,646,1219,849,2082
1144,1331,1864,0,0
1145,1460,2072,451,1691
1146,763,1668,316,1607
1147,650,1539,285,1727
1148,342,989,168,1164
1149,0,0,0,0
1150,732,1078,358,1134
1151,1408,2199,379,1567
1152,0,0,0,0
1153,1382,1562,181,145
1154,1238,1339,1215,1947
1155,1266,1830,247,845
1156,935,1733,553,1871
1157,617,1083,378,1033
1158,1153,1648,753,1792
1159,1305,1849,848,2088
1160,651,863,386,1036
1161,1269,468,619,152
1162,68,48,295,261
1163,0,0,457,73
1164,876,706,165,73
1165,1031,547,584,263
1166,1052,1327,311,526
1167,902,1069,734,1257
1168,1758,118,1132,108
1169,2025,2164,778,1436
1170,1109,1376,972,1233
1171,0,0,459,480
1172,501,708,697,1090
1173,908,1576,648,1396
1174,624,1514,427,1753
1175,1269,1910,330,850
1176,753,1521,49,314
1177,621,1145,397,1134
1178,1467,1926,968,1742
1179,1222,1700,744,1569
1180,0,0,0,0
1181,1295,2148,749,1875
1182,0,0,0,0
1183,416,786,315,1068
1184,1170,1699,0,0
1185,0,0,470,1301
1186,792,1365,465,1267
1187,1841,1935,805,1737
1188,0,0,816,924
1189,1072,1625,0,0
1190,1536,1934,175,496
1191,0,0,794,1103
1192,526,887,170,109
1193,890,532,972,1245
1194,0,0,205,551
1195,499,876,0,0
1196,762,432,1277,771
1197,982,623,779,307
1198,1013,440,0,0
1199,0,0,0,0
1200,661,242,523,140
1201,0,0,802,200
1202,976,319,0,0
1203,782,272,772,206
1204,705,16,702,43
1205,754,280,434,168
1206,1071,205,1661,189
1207,332,6,0,0
1208,567,26,0,0
1209,967,182,1103,133
1210,257,9,0,0
1211,734,74,795,57
1212,1148,22,567,12
1213,1070,9,0,0
1214,0,0,748,11
1215,647,7,0,0
1216,1453,212,877,111
1217,1001,15,534,16
1218,301,4,0,0
1219,0,0,189,5
1220,1965,12,934,16
1221,999,10,575,7
1222,989,6,654,13
1223,0,0,0,0
1224,1006,9,0,0
1225,241,2,0,0
