rn,D04,R04,D08,R08,D12,R12,D16,R16
529,1639.0,2012.0,2151.0,1798.0,2027.0,2340.0,1642.0,2640.0
530,1429.0,1611.0,1602.0,1377.0,1329.0,1589.0,1053.0,1867.0
531,1778.0,2662.0,2026.0,2315.0,1845.0,2557.0,1485.0,2209.0
532,1344.0,1929.0,1808.0,1813.0,1539.0,2010.0,1642.0,2310.0
533,1106.0,1361.0,1219.0,1235.0,1068.0,1481.0,882.0,1590.0
534,1384.0,1773.0,1566.0,1583.0,1395.0,1962.0,1074.0,2221.0
535,1164.0,867.0,1166.0,752.0,956.0,1017.0,695.0,1259.0
536,1361.0,1716.0,1624.0,1427.0,1345.0,1778.0,1080.0,2012.0
537,1376.0,1841.0,1663.0,1544.0,1311.0,1944.0,993.0,2081.0
538,677.0,1131.0,867.0,899.0,684.0,1189.0,531.0,1325.0
539,1428.0,1971.0,1845.0,1553.0,1468.0,2022.0,1199.0,2280.0
540,644.0,853.0,739.0,645.0,509.0,841.0,368.0,956.0
541,1401.0,2042.0,1700.0,1623.0,1312.0,2122.0,929.0,2331.0
542,755.0,772.0,758.0,659.0,623.0,755.0,403.0,881.0
543,1030.0,1672.0,1061.0,1509.0,964.0,1532.0,665.0,1526.0
544,610.0,750.0,702.0,617.0,599.0,652.0,386.0,849.0
545,726.0,894.0,847.0,776.0,597.0,726.0,408.0,923.0
546,606.0,728.0,733.0,621.0,698.0,737.0,421.0,973.0
547,660.0,773.0,724.0,654.0,776.0,873.0,514.0,1190.0
548,791.0,1319.0,888.0,1064.0,828.0,1247.0,492.0,1542.0
549,966.0,1269.0,1181.0,1009.0,1054.0,1113.0,698.0,1441.0
550,1064.0,1218.0,1149.0,981.0,969.0,1060.0,677.0,1318.0
551,743.0,659.0,799.0,487.0,711.0,493.0,488.0,704.0
552,1503.0,1159.0,1535.0,891.0,1074.0,745.0,639.0,894.0
553,736.0,653.0,818.0,458.0,989.0,686.0,618.0,881.0
554,727.0,953.0,779.0,777.0,731.0,801.0,511.0,971.0
555,915.0,1049.0,999.0,908.0,872.0,910.0,638.0,1080.0
556,880.0,1051.0,894.0,721.0,984.0,905.0,701.0,1054.0
557,449.0,580.0,491.0,453.0,572.0,507.0,378.0,583.0
558,814.0,971.0,905.0,795.0,855.0,869.0,580.0,1021.0
559,474.0,142.0,487.0,114.0,169.0,34.0,208.0,66.0
560,938.0,146.0,770.0,71.0,1022.0,145.0,794.0,201.0
561,1542.0,562.0,1811.0,384.0,2485.0,504.0,2086.0,382.0
562,2417.0,859.0,2823.0,505.0,1514.0,251.0,1149.0,197.0
563,1232.0,418.0,1439.0,346.0,1685.0,320.0,1296.0,252.0
564,1926.0,1072.0,2485.0,812.0,3047.0,1027.0,2749.0,839.0
565,0.0,0.0,0.0,0.0,1401.0,809.0,1214.0,688.0
567,1952.0,1241.0,2151.0,920.0,1513.0,262.0,1209.0,238.0
568,1350.0,830.0,1480.0,628.0,926.0,346.0,844.0,266.0
569,685.0,405.0,891.0,342.0,981.0,314.0,807.0,260.0
570,1250.0,652.0,1403.0,438.0,1415.0,401.0,1243.0,319.0
571,683.0,153.0,728.0,72.0,786.0,64.0,565.0,61.0
572,2073.0,832.0,2364.0,528.0,2568.0,422.0,2057.0,355.0
573,568.0,392.0,635.0,304.0,1608.0,338.0,1422.0,277.0
574,1760.0,506.0,1939.0,337.0,1982.0,335.0,1629.0,262.0
575,1445.0,407.0,1570.0,282.0,1752.0,256.0,1331.0,223.0
576,1652.0,353.0,1838.0,232.0,1930.0,172.0,1498.0,161.0
577,1844.0,285.0,2057.0,171.0,1404.0,94.0,1049.0,82.0
578,616.0,44.0,600.0,22.0,565.0,6.0,390.0,16.0
579,1290.0,297.0,1456.0,166.0,1711.0,160.0,1258.0,129.0
580,648.0,126.0,690.0,79.0,714.0,66.0,514.0,59.0
581,1218.0,331.0,1382.0,168.0,1496.0,189.0,1197.0,145.0
582,1587.0,389.0,1919.0,196.0,1757.0,135.0,1233.0,117.0
583,531.0,118.0,631.0,78.0,1356.0,196.0,1097.0,135.0
584,1180.0,202.0,1330.0,114.0,1437.0,71.0,1046.0,62.0
585,590.0,148.0,739.0,81.0,1308.0,142.0,1213.0,96.0
586,1408.0,209.0,1684.0,110.0,1665.0,94.0,1314.0,78.0
587,609.0,91.0,676.0,51.0,500.0,33.0,335.0,16.0
588,947.0,267.0,940.0,192.0,1109.0,205.0,829.0,166.0
589,2279.0,112.0,2348.0,35.0,2591.0,26.0,2058.0,53.0
