State,CD,Session,black_vap_frac,hispanic_vap_frac,total_minority_vap_frac,max_minority_vap_frac
22,4,115,0.3269886507331588,0.03365710807355483,0.3606457588067136,0.3269886507331588
22,5,115,0.33741444640451546,0.020222794088021006,0.3576372404925365,0.33741444640451546
22,6,115,0.2221804473418308,0.03809085812691134,0.2602713054687421,0.2221804473418308
23,1,115,0.01283449297663923,0.013875127542312682,0.026709620518951913,0.013875127542312682
23,2,115,0.006407478545544002,0.010648222615409361,0.01705570116095336,0.010648222615409361
24,1,115,0.1144905557287307,0.02986337065743896,0.14435392638616965,0.1144905557287307
24,2,115,0.31702265215107905,0.0521611320355737,0.36918378418665276,0.31702265215107905
24,3,115,0.20702525890033524,0.07379168532920721,0.28081694422954245,0.20702525890033524
24,4,115,0.538453103361673,0.13780436255202042,0.6762574659136934,0.538453103361673
24,5,115,0.37731143562795044,0.06768721142063346,0.4449986470485839,0.37731143562795044
24,6,115,0.128771881728919,0.11226938405828535,0.24104126578720436,0.128771881728919
24,7,115,0.5281268354100943,0.0341074147930097,0.562234250203104,0.5281268354100943
24,8,115,0.12075223602569546,0.1327353476968593,0.25348758372255475,0.1327353476968593
25,1,115,0.05827734188738133,0.1393315705058737,0.197608912393255,0.1393315705058737
25,2,115,0.04653932060553171,0.07791993494905987,0.12445925555459159,0.07791993494905987
25,3,115,0.0352465151896682,0.16045305121403514,0.19569956640370334,0.16045305121403514
25,4,115,0.027346020323009902,0.03793258395776478,0.06527860428077469,0.03793258395776478
25,5,115,0.046565261115704054,0.0756913299413668,0.12225659105707086,0.0756913299413668
25,6,115,0.030684650959787143,0.0704073324883961,0.10109198344818325,0.0704073324883961
25,7,115,0.23875993160067643,0.185128500662894,0.4238884322635704,0.23875993160067643
25,8,115,0.08639903263214582,0.04711953666780099,0.13351856929994682,0.08639903263214582
25,9,115,0.02538868869376914,0.039252905648885957,0.0646415943426551,0.039252905648885957
26,1,115,0.018489968339576935,0.014044148798714597,0.03253411713829153,0.018489968339576935
26,2,115,0.058870008975696435,0.07237724870325765,0.1312472576789541,0.07237724870325765
26,3,115,0.0803689811504326,0.05593239247041439,0.136301373620847,0.0803689811504326
26,4,115,0.019248080152830117,0.024847521651835243,0.04409560180466536,0.024847521651835243
26,5,115,0.16306252882651381,0.03924359227778876,0.20230612110430257,0.16306252882651381
26,6,115,0.07705388012342326,0.045443527295459474,0.12249740741888274,0.07705388012342326
26,7,115,0.041886974215088545,0.034614306880555,0.07650128109564355,0.041886974215088545
26,8,115,0.05206862223045401,0.04099489055384686,0.09306351278430088,0.05206862223045401
26,9,115,0.11011994794048331,0.019193429244785256,0.12931337718526856,0.11011994794048331
26,10,115,0.02848983760448507,0.024908009677092238,0.05339784728157731,0.02848983760448507
26,11,115,0.05138104550352885,0.02744100444906602,0.07882204995259487,0.05138104550352885
26,12,115,0.10023462128004165,0.04922347225033982,0.14945809353038148,0.10023462128004165
26,13,115,0.5454052214497545,0.05593465895279304,0.6013398804025475,0.5454052214497545
26,14,115,0.5617033696440172,0.03956766120907987,0.6012710308530971,0.5617033696440172
27,1,115,0.023732174089179218,0.046794354917244145,0.07052652900642337,0.046794354917244145
27,2,115,0.03754551563549985,0.04650799356139337,0.08405350919689322,0.04650799356139337
27,3,115,0.05843292738344088,0.033693462389045414,0.0921263897724863,0.05843292738344088
27,4,115,0.08402630289940861,0.05322611453524547,0.13725241743465408,0.08402630289940861
27,5,115,0.14042123632752604,0.0719128320457964,0.21233406837332244,0.14042123632752604
27,6,115,0.021968275894545995,0.020698762273273108,0.0426670381678191,0.021968275894545995
27,7,115,0.009174203533811046,0.03229579569822601,0.04146999923203705,0.03229579569822601
27,8,115,0.00952196402259332,0.012463163064833006,0.021985127087426327,0.012463163064833006
28,1,115,0.26091117950799736,0.02557300862115727,0.2864841881291546,0.26091117950799736
28,2,115,0.6297475155440606,0.019382832242717078,0.6491303477867777,0.6297475155440606
28,3,115,0.3345327787875698,0.02106969205834684,0.3556024708459167,0.3345327787875698
28,4,115,0.22064886118170818,0.0341801513801389,0.2548290125618471,0.22064886118170818
29,1,115,0.46351401622217353,0.02907892403809047,0.492592940260264,0.46351401622217353
29,2,115,0.03625567338836949,0.021204842866763777,0.057460516255133265,0.03625567338836949
29,3,115,0.03164322122725633,0.019915086870952906,0.051558308098209236,0.03164322122725633
29,4,115,0.047266166517165455,0.03014997689526761,0.07741614341243307,0.047266166517165455
29,5,115,0.20633829627064804,0.07110902096974521,0.27744731724039323,0.20633829627064804
29,6,115,0.04048722412378912,0.032229540082299966,0.07271676420608908,0.04048722412378912
29,7,115,0.017217222657172116,0.037221332509098565,0.05443855516627068,0.037221332509098565
29,8,115,0.04306312279672505,0.014769210474701066,0.05783233327142612,0.04306312279672505
30,1,115,0.004115880962610115,0.027394532116021247,0.03151041307863136,0.027394532116021247
31,1,115,0.02689219246767282,0.06719278183394699,0.0940849743016198,0.06719278183394699
31,2,115,0.09087898551336028,0.08709490984872134,0.17797389536208164,0.09087898551336028
31,3,115,0.01054524522618285,0.08821390855738102,0.09875915378356387,0.08821390855738102
32,1,115,0.10616095026885804,0.3930548804569068,0.4992158307257648,0.3930548804569068
32,2,115,0.019385279651020455,0.18120748110065063,0.2005927607516711,0.18120748110065063
32,3,115,0.0670974785854487,0.14804422167863657,0.21514170026408527,0.14804422167863657
32,4,115,0.14059902193614657,0.2458955244862728,0.38649454642241937,0.2458955244862728
33,1,115,0.012726608392591135,0.027145226116529413,0.039871834509120546,0.027145226116529413
33,2,115,0.011464603038119804,0.02720565485850516,0.03867025789662496,0.02720565485850516
34,1,115,0.16572873439388194,0.1093748338832168,0.27510356827709875,0.16572873439388194
34,2,115,0.1229541023344048,0.13214768755159756,0.25510178988600235,0.13214768755159756
34,3,115,0.10273836179068394,0.06364441819255759,0.16638277998324152,0.10273836179068394
34,4,115,0.06770875356581267,0.09031300259804528,0.15802175616385794,0.09031300259804528
34,5,115,0.051839502635303514,0.12084190783818281,0.17268141047348634,0.12084190783818281
34,6,115,0.09998584332357328,0.18968392630241424,0.2896697696259875,0.18968392630241424
34,7,115,0.04582161776242144,0.10943562532502446,0.1552572430874459,0.10943562532502446
34,8,115,0.10058844886752455,0.5215594480593904,0.622147896926915,0.5215594480593904
34,9,115,0.10522906301824213,0.3353579325594251,0.44058699557766723,0.3353579325594251
