,State,CD,Session,black_vap_frac,hispanic_vap_frac,total_minority_vap_frac,max_minority_vap_frac,Ethnicity,Name,Delegate,BRep,HRep,MRep,const
950,8,4,115,0.014594315099557229,0.1898990398105386,0.20449335491009585,0.1898990398105386,,,,0,0,0,1
78,8,5,113,0.0565266242288164,0.12240833257749782,0.17893495680631422,0.12240833257749782,,,,0,0,0,1
514,8,5,114,0.05570174342422371,0.12700076049428558,0.18270250391850928,0.12700076049428558,,,,0,0,0,1
951,8,5,115,0.056455597361720074,0.13170842100535188,0.18816401836707194,0.13170842100535188,,,,0,0,0,1
79,8,6,113,0.0849573082199992,0.1647329932199326,0.2496903014399318,0.1647329932199326,,,,0,0,0,1
515,8,6,114,0.08725406798657939,0.16691066675915547,0.2541647347457349,0.16691066675915547,,,,0,0,0,1
952,8,6,115,0.08847112259572329,0.16878670211748506,0.25725782471320835,0.16878670211748506,,,,0,0,0,1
80,8,7,113,0.014276890042576975,0.22424056357499506,0.238517453617572,0.22424056357499506,,,,0,0,0,1
516,8,7,114,0.013968668407310704,0.2338367087714346,0.2478053771787453,0.2338367087714346,,,,0,0,0,1
953,8,7,115,0.014595774530100372,0.2415931786258604,0.25618895315596074,0.2415931786258604,,,,0,0,0,1
81,9,1,113,0.13661751463101685,0.12496503534362813,0.26158254997464503,0.13661751463101685,,,,0,0,0,1
517,9,1,114,0.14066740950258566,0.13325154995571556,0.2739189594583012,0.14066740950258566,,,,0,0,0,1
954,9,1,115,0.14341304781444122,0.13828752778252693,0.2817005755969681,0.14341304781444122,,,,0,0,0,1
82,9,2,113,0.03752387332174111,0.05755964767252929,0.0950835209942704,0.05755964767252929,,,,0,0,0,1
518,9,2,114,0.03886584143627561,0.06269653427982062,0.10156237571609623,0.06269653427982062,,,,0,0,0,1
955,9,2,115,0.039260078861963366,0.06708376352687051,0.10634384238883388,0.06708376352687051,,,,0,0,0,1
83,9,3,113,0.12034607840694292,0.10707890886696876,0.2274249872739117,0.12034607840694292,,,,0,0,0,1
519,9,3,114,0.12261182704154748,0.11259291378693415,0.23520474082848164,0.12261182704154748,,,,0,0,0,1
956,9,3,115,0.12614665661602284,0.1233360908475596,0.24948274746358245,0.12614665661602284,,,,0,0,0,1
84,9,4,113,0.1162122822981616,0.1605028466366339,0.2767151289347955,0.1605028466366339,,,,0,0,0,1
520,9,4,114,0.11778853172170155,0.16971949724095647,0.28750802896265804,0.16971949724095647,,,,0,0,0,1
957,9,4,115,0.12261063458668248,0.1751955548362734,0.2978061894229559,0.1751955548362734,,,,0,0,0,1
85,9,5,113,0.059617235541318224,0.1339365127487704,0.19355374829008865,0.1339365127487704,,,,0,0,0,1
521,9,5,114,0.0632092511171717,0.14249785920398367,0.20570711032115532,0.14249785920398367,,,,0,0,0,1
958,9,5,115,0.06302972082178081,0.14744810998657604,0.21047783080835689,0.14744810998657604,,,,0,0,0,1
86,10,1,113,0.1987243171641254,0.06654284192187522,0.2652671590860006,0.1987243171641254,,,,0,0,0,1
522,10,1,114,0.2027930906722953,0.0702511002829299,0.2730441909552252,0.2027930906722953,,,,0,0,0,1
959,10,1,115,0.2059539796551144,0.07201886919013338,0.27797284884524776,0.2059539796551144,B,"BLUNT ROCHESTER, Lisa",0.0,1,0,1,1
87,12,1,113,0.12554723986464264,0.0468671202941026,0.17241436015874526,0.12554723986464264,,,,0,0,0,1
523,12,1,114,0.12702774576721926,0.051061076145731764,0.17808882191295103,0.12702774576721926,,,,0,0,0,1
960,12,1,115,0.12816009486084498,0.05419441317740868,0.18235450803825365,0.12816009486084498,,,,0,0,0,1
88,12,2,113,0.2345784518413547,0.04906913598944192,0.2836475878307966,0.2345784518413547,,,,0,0,0,1
524,12,2,114,0.23768191074411854,0.051717066987183466,0.289398977731302,0.23768191074411854,,,,0,0,0,1
961,12,2,115,0.12812704244758086,0.05436399286357775,0.18249103531115865,0.12812704244758086,,,,0,0,0,1
89,12,3,113,0.12684989429175475,0.07024752215162929,0.197097416443384,0.12684989429175475,,,,0,0,0,1
525,12,3,114,0.12916974443631654,0.07390224228560391,0.20307198672192045,0.12916974443631654,,,,0,0,0,1
962,12,3,115,0.15079519728474405,0.08159407915481283,0.2323892764395569,0.15079519728474405,,,,0,0,0,1
90,12,4,113,0.12569279747809778,0.06782388569140133,0.1935166831694991,0.12569279747809778,,,,0,0,0,1
526,12,4,114,0.12789969554546304,0.07260484968007082,0.20050454522553385,0.12789969554546304,,,,0,0,0,1
963,12,4,115,0.08766332447553635,0.07095350081078558,0.15861682528632193,0.08766332447553635,,,,0,0,0,1
91,12,5,113,0.4936656643818744,0.11066318929888287,0.6043288536807573,0.4936656643818744,B,"BROWN, Corrine",0.0,1,0,1,1
527,12,5,114,0.4950137355320331,0.11583314943193493,0.610846884963968,0.4950137355320331,B,"BROWN, Corrine",0.0,1,0,1,1
964,12,5,115,0.4471423606837483,0.06802006935947466,0.5151624300432229,0.4471423606837483,B,"LAWSON, Alfred Jr.",0.0,1,0,1,1
92,12,6,113,0.08657150198924303,0.05592918472048699,0.14250068670973,0.08657150198924303,,,,0,0,0,1
